SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
125531.96+594003.2,1.329,-24.65748696656392,-25.016737239594608,-25.34489880070044,-25.51490381204448,-25.79283210483518,-20.279215639088896,-24.52744815302723,-25.991008478490485,-26.050471037767498,-26.278723598671,-26.887872134503144,-27.766242011372324,7
130118.47+012136.7,1.983554,-25.26616412788484,-25.286190841631544,-25.604837010878025,-25.80480096805048,-26.08078501985875,-18.124289768266205,-23.977576767044287,-26.51016064881073,-26.365248679330648,-27.016318044858647,-27.1456753214995,-27.690827652377607,7
130157.31+214825.0,2.233,-25.14993122861409,-25.241255112412222,-25.713458624330997,-25.89688744853871,-26.089629752722782,-18.48801572064052,-22.61507805951937,-26.44787494043597,-26.85454035869473,-26.74616518450968,-27.061362732471657,-27.92082920972622,7
130307.05+043735.8,1.873,-24.961143371399974,-25.38881087355377,-25.67512161893235,-25.78090323824248,-26.054581872165063,-17.254357709112575,-22.803201978529547,-26.3791055762171,-26.846110366103403,-26.720083342807467,-26.77289768580653,-27.67406335159424,7
130403.73+085728.4,1.612,-24.90046564095423,-25.082939187147065,-25.34147592748536,-25.475265059695232,-25.769888214053303,-21.091180928886388,-23.642930437759198,-25.93797962776708,-26.210446364768465,-26.481785260520976,-26.832738589599977,-27.70775784741141,7
130430.59+130218.0,2.128,-25.62981066695667,-25.84755972106757,-26.2328584932259,-26.38943655808804,-26.65083315452373,-20.423337479239628,-23.34932924082684,-26.98622391283528,-27.27195588190801,-27.57310429240849,-27.669194016169296,-28.539694139984014,7
130616.67+310529.2,2.023,-25.07907292310516,-25.29113097299084,-25.679871228476497,-25.795902688371083,-26.02663906942692,-17.158473550415426,-23.819315048414943,-26.711839030119773,-26.89392958982336,-27.026688346979864,-27.145489542591235,-28.079235915684237,7
130724.69+371156.9,2.04,-24.910467345697093,-25.0619553856762,-25.363459124462207,-25.487825176286385,-25.75092937242079,-20.081595479337548,-23.36652372172748,-26.257195300054946,-26.16872342376047,-26.759207526333277,-26.78091522762546,-27.565824087816544,7
130855.67+542854.5,0.912696,-24.418349753851118,-24.563176754117467,-24.878294694481895,-25.05268806189802,-25.264126398271056,-20.41315099754953,-24.347069142390133,-25.245078114088464,-25.38235272824158,-25.805453069475405,-26.53847904579342,-27.334838809238608,7
130923.06+253331.1,2.086,-24.83572779144473,-25.01208574981512,-25.423017479110875,-25.532353853267104,-25.79780964650398,-20.213205625430597,-23.54635715892177,-25.82833694433495,-26.18130603084076,-26.5505886043164,-26.67753479985758,-27.596132017577776,7
